hops 8
config 0 1 1 false false
32 reply_formerr ignored connecting_tcp 0/0/0/8 ----
32 reply_truncated ignored connecting_tcp 0/0/0/8 ----
32 reply_badcookie ignored connecting_tcp 0/0/0/8 ----
32 cancel none failed canceled -
31 reply_unmatched ignored tcp_needed 0/0/0/8 ----
31 cancel none failed canceled -
30 reply_badcookie accepted query_ready 0/0/0/8 ---K
31 poll send_udp query_ready 0/0/0/8 ---K
32 poll send_udp query_ready 0/0/0/8 ---K
32 sent none awaiting_udp 0/0/0/8 ---K
33 poll wait awaiting_udp 0/0/0/8 ---K
33 expire failed_timeout failed timeout -
33 reply_unmatched ignored awaiting_udp 0/0/0/8 ---K
33 reply_answer accepted done - -
33 reply_cname accepted failed chain_too_long -
33 reply_nxdomain accepted failed name_not_found -
33 reply_nodata accepted failed no_data -
33 reply_servfail accepted failed all_servers_failed -
33 reply_formerr accepted failed all_servers_failed -
33 reply_truncated accepted tcp_needed 0/0/0/8 ---K
34 poll connect_tcp connecting_tcp 0/0/0/8 ---K
35 poll wait connecting_tcp 0/0/0/8 ---K
35 expire failed_timeout failed timeout -
35 tcp_connected none tcp_ready 0/0/0/8 ---K
36 poll send_tcp tcp_ready 0/0/0/8 ---K
37 poll send_tcp tcp_ready 0/0/0/8 ---K
37 sent none awaiting_tcp 0/0/0/8 ---K
38 poll wait awaiting_tcp 0/0/0/8 ---K
38 expire failed_timeout failed timeout -
38 tcp_failed none failed timeout -
38 reply_unmatched ignored awaiting_tcp 0/0/0/8 ---K
38 reply_answer accepted done - -
38 reply_cname accepted failed chain_too_long -
38 reply_nxdomain accepted failed name_not_found -
38 reply_nodata accepted failed no_data -
38 reply_servfail accepted failed all_servers_failed -
38 reply_formerr accepted failed all_servers_failed -
38 reply_truncated accepted failed no_data -
38 reply_badcookie accepted failed all_servers_failed -
38 cancel none failed canceled -
37 send_failed none failed timeout -
37 tcp_failed none failed timeout -
37 reply_unmatched ignored tcp_ready 0/0/0/8 ---K
37 cancel none failed canceled -
36 tcp_failed none failed timeout -
36 reply_unmatched ignored tcp_ready 0/0/0/8 ---K
36 cancel none failed canceled -
35 tcp_failed none failed timeout -
35 reply_unmatched ignored connecting_tcp 0/0/0/8 ---K
35 reply_answer ignored connecting_tcp 0/0/0/8 ---K
35 reply_cname ignored connecting_tcp 0/0/0/8 ---K
35 reply_nxdomain ignored connecting_tcp 0/0/0/8 ---K
35 reply_nodata ignored connecting_tcp 0/0/0/8 ---K
35 reply_servfail ignored connecting_tcp 0/0/0/8 ---K
35 reply_formerr ignored connecting_tcp 0/0/0/8 ---K
35 reply_truncated ignored connecting_tcp 0/0/0/8 ---K
35 reply_badcookie ignored connecting_tcp 0/0/0/8 ---K
35 cancel none failed canceled -
34 reply_unmatched ignored tcp_needed 0/0/0/8 ---K
34 cancel none failed canceled -
33 reply_badcookie accepted tcp_needed 0/0/0/8 ---K
33 cancel none failed canceled -
32 send_failed none failed timeout -
32 reply_unmatched ignored query_ready 0/0/0/8 ---K
32 cancel none failed canceled -
31 reply_unmatched ignored query_ready 0/0/0/8 ---K
31 cancel none failed canceled -
30 cancel none failed canceled -
29 send_failed none failed timeout -
29 reply_unmatched ignored query_ready 0/0/0/8 ----
29 cancel none failed canceled -
28 reply_unmatched ignored query_ready 0/0/0/8 ----
28 cancel none failed canceled -
27 reply_truncated accepted tcp_needed 0/0/0/8 E---
28 poll connect_tcp connecting_tcp 0/0/0/8 E---
29 poll wait connecting_tcp 0/0/0/8 E---
29 expire failed_timeout failed timeout -
29 tcp_connected none tcp_ready 0/0/0/8 E---
30 poll send_tcp tcp_ready 0/0/0/8 E---
31 poll send_tcp tcp_ready 0/0/0/8 E---
31 sent none awaiting_tcp 0/0/0/8 E---
32 poll wait awaiting_tcp 0/0/0/8 E---
32 expire failed_timeout failed timeout -
32 tcp_failed none failed timeout -
32 reply_unmatched ignored awaiting_tcp 0/0/0/8 E---
32 reply_answer accepted done - -
32 reply_cname accepted failed chain_too_long -
32 reply_nxdomain accepted failed name_not_found -
32 reply_nodata accepted failed no_data -
32 reply_servfail accepted failed all_servers_failed -
32 reply_formerr accepted query_ready 0/0/0/8 ----
32 reply_truncated accepted failed no_data -
32 reply_badcookie accepted failed all_servers_failed -
32 cancel none failed canceled -
31 send_failed none failed timeout -
31 tcp_failed none failed timeout -
31 reply_unmatched ignored tcp_ready 0/0/0/8 E---
31 cancel none failed canceled -
30 tcp_failed none failed timeout -
30 reply_unmatched ignored tcp_ready 0/0/0/8 E---
30 cancel none failed canceled -
29 tcp_failed none failed timeout -
29 reply_unmatched ignored connecting_tcp 0/0/0/8 E---
29 reply_answer ignored connecting_tcp 0/0/0/8 E---
29 reply_cname ignored connecting_tcp 0/0/0/8 E---
29 reply_nxdomain ignored connecting_tcp 0/0/0/8 E---
29 reply_nodata ignored connecting_tcp 0/0/0/8 E---
29 reply_servfail ignored connecting_tcp 0/0/0/8 E---
29 reply_formerr ignored connecting_tcp 0/0/0/8 E---
29 reply_truncated ignored connecting_tcp 0/0/0/8 E---
29 reply_badcookie ignored connecting_tcp 0/0/0/8 E---
29 cancel none failed canceled -
28 reply_unmatched ignored tcp_needed 0/0/0/8 E---
28 cancel none failed canceled -
27 reply_badcookie accepted query_ready 0/0/0/8 E--K
28 poll send_udp query_ready 0/0/0/8 E--K
29 poll send_udp query_ready 0/0/0/8 E--K
29 sent none awaiting_udp 0/0/0/8 E--K
30 poll wait awaiting_udp 0/0/0/8 E--K
30 expire failed_timeout failed timeout -
30 reply_unmatched ignored awaiting_udp 0/0/0/8 E--K
30 reply_answer accepted done - -
30 reply_cname accepted failed chain_too_long -
30 reply_nxdomain accepted failed name_not_found -
30 reply_nodata accepted failed no_data -
30 reply_servfail accepted failed all_servers_failed -
30 reply_formerr accepted query_ready 0/0/0/8 ---K
30 reply_truncated accepted tcp_needed 0/0/0/8 E--K
31 poll connect_tcp connecting_tcp 0/0/0/8 E--K
32 poll wait connecting_tcp 0/0/0/8 E--K
32 expire failed_timeout failed timeout -
